model,problem_id,problem_title,status,processing_time,rounds,total_candidates,difficulty
deepseek-r1-distill,snake-in-matrix,,solved,106.47073769569397,0,3,Easy
deepseek-r1-distill,count-substrings-that-satisfy-k-constraint-i,,solved,50.41893792152405,0,3,Easy
deepseek-r1-distill,final-array-state-after-k-multiplication-operations-i,,solved,33.08001351356506,0,3,Easy
deepseek-r1-distill,find-the-key-of-the-numbers,,solved,47.475890159606934,0,3,Easy
deepseek-r1-distill,check-if-two-chessboard-squares-have-the-same-color,,solved,43.459948778152466,0,3,Easy
deepseek-r1-distill,convert-date-to-binary,,solved,38.4100456237793,0,3,Easy
deepseek-r1-distill,find-indices-of-stable-mountains,,solved,43.75085997581482,0,3,Easy
deepseek-r1-distill,the-two-sneaky-numbers-of-digitville,,solved,42.43138384819031,0,3,Easy
deepseek-r1-distill,minimum-element-after-replacement-with-digit-sum,,solved,98.89862632751465,0,3,Easy
deepseek-r1-distill,find-the-k-th-character-in-string-game-i,,solved,239.82340812683105,0,9,Easy
deepseek-r1-distill,construct-the-minimum-bitwise-array-i,,unsolved,1670.5095491409302,0,39,Easy
deepseek-r1-distill,find-x-sum-of-all-k-long-subarrays-i,,unsolved,1757.706859111786,0,31,Easy
deepseek-r1-distill,find-the-original-typed-string-i,,unsolved,2148.0867812633514,0,32,Easy
deepseek-r1-distill,check-balanced-string,,solved,30.23751473426819,0,3,Easy
deepseek-r1-distill,smallest-divisible-digit-product-i,,solved,47.2935152053833,0,3,Easy
deepseek-r1-distill,adjacent-increasing-subarrays-detection-i,,unsolved,598.2023961544037,0,15,Easy
deepseek-r1-distill,minimum-total-operations,,unsolved,1326.5349929332733,0,39,Easy
deepseek-r1-distill,make-array-elements-equal-to-zero,,solved,63.24446415901184,0,3,Easy
qwen2-5-coder,snake-in-matrix,,solved,114.04172897338867,0,3,Easy
qwen2-5-coder,count-substrings-that-satisfy-k-constraint-i,,unsolved,351.44890999794006,0,18,Easy
qwen2-5-coder,final-array-state-after-k-multiplication-operations-i,,solved,30.190292596817017,0,3,Easy
qwen2-5-coder,find-the-key-of-the-numbers,,solved,43.41393518447876,0,3,Easy
qwen2-5-coder,check-if-two-chessboard-squares-have-the-same-color,,solved,36.59648895263672,0,3,Easy
qwen2-5-coder,convert-date-to-binary,,solved,30.901097774505615,0,3,Easy
qwen2-5-coder,find-indices-of-stable-mountains,,solved,28.79731512069702,0,3,Easy
qwen2-5-coder,the-two-sneaky-numbers-of-digitville,,unsolved,485.1675443649292,0,39,Easy
qwen2-5-coder,minimum-element-after-replacement-with-digit-sum,,solved,24.571908473968506,0,3,Easy
qwen2-5-coder,find-the-k-th-character-in-string-game-i,,unsolved,321.0281021595001,0,21,Easy
qwen2-5-coder,construct-the-minimum-bitwise-array-i,,solved,37.825688123703,0,3,Easy
qwen2-5-coder,find-x-sum-of-all-k-long-subarrays-i,,unsolved,831.878585100174,0,39,Easy
qwen2-5-coder,find-the-original-typed-string-i,,unsolved,824.0554304122925,0,39,Easy
qwen2-5-coder,check-balanced-string,,solved,29.48061203956604,0,3,Easy
qwen2-5-coder,smallest-divisible-digit-product-i,,solved,33.80227208137512,0,3,Easy
qwen2-5-coder,adjacent-increasing-subarrays-detection-i,,solved,39.93443036079407,0,3,Easy
qwen2-5-coder,minimum-total-operations,,solved,30.611413717269897,0,3,Easy
qwen2-5-coder,make-array-elements-equal-to-zero,,solved,48.79206323623657,0,3,Easy
qwq-preview,snake-in-matrix,,solved,823.5872948169708,0,21,Easy
qwq-preview,count-substrings-that-satisfy-k-constraint-i,,solved,207.26895570755005,0,3,Easy
qwq-preview,final-array-state-after-k-multiplication-operations-i,,solved,52.726561546325684,0,3,Easy
qwq-preview,find-the-key-of-the-numbers,,solved,68.62402319908142,0,3,Easy
qwq-preview,check-if-two-chessboard-squares-have-the-same-color,,solved,47.04260182380676,0,3,Easy
qwq-preview,convert-date-to-binary,,solved,48.75411796569824,0,3,Easy
qwq-preview,find-indices-of-stable-mountains,,solved,33.64841103553772,0,3,Easy
qwq-preview,the-two-sneaky-numbers-of-digitville,,unsolved,686.9400534629822,0,39,Easy
qwq-preview,minimum-element-after-replacement-with-digit-sum,,solved,79.11884450912476,0,3,Easy
qwq-preview,find-the-k-th-character-in-string-game-i,,solved,60.25752139091492,0,3,Easy
qwq-preview,construct-the-minimum-bitwise-array-i,,solved,512.3172044754028,0,1,Easy
qwq-preview,find-x-sum-of-all-k-long-subarrays-i,,unsolved,1174.5835359096527,0,39,Easy
qwq-preview,find-the-original-typed-string-i,,solved,846.2952404022217,0,23,Easy
qwq-preview,check-balanced-string,,solved,39.615246295928955,0,3,Easy
qwq-preview,smallest-divisible-digit-product-i,,solved,70.23282408714294,0,3,Easy
qwq-preview,adjacent-increasing-subarrays-detection-i,,solved,57.599961280822754,0,3,Easy
qwq-preview,minimum-total-operations,,unsolved,910.2073721885681,0,17,Easy
qwq-preview,make-array-elements-equal-to-zero,,solved,110.36004281044006,0,3,Easy
